18:50:33 INFO GitHub token rate limit: Rate(reset=2026-04-12 19:04:05+00:00, remaining=3982, limit=5000)
18:59:16 INFO Wait for condition not met, sleeping 10
19:00:48 INFO Wait for condition not met, sleeping 10
19:01:00 INFO Wait for condition not met, sleeping 10
19:01:13 INFO Wait for condition not met, sleeping 10
19:01:25 INFO Wait for condition not met, sleeping 10
19:01:38 INFO Wait for condition not met, sleeping 10
19:01:50 INFO Wait for condition not met, sleeping 10
19:02:04 INFO Wait for condition not met, sleeping 10
19:02:16 INFO Wait for condition not met, sleeping 10
19:02:28 INFO Wait for condition not met, sleeping 10
19:02:40 INFO Wait for condition not met, sleeping 10
19:02:52 INFO Wait for condition not met, sleeping 10
19:03:05 INFO Wait for condition not met, sleeping 10
19:03:17 INFO Wait for condition not met, sleeping 10
19:03:29 INFO Wait for condition not met, sleeping 10
19:03:41 INFO Wait for condition not met, sleeping 10
19:03:53 INFO Wait for condition not met, sleeping 10
19:04:05 INFO Wait for condition not met, sleeping 10
19:04:18 INFO Wait for condition not met, sleeping 10
19:04:30 INFO Wait for condition not met, sleeping 10
19:04:43 INFO Wait for condition not met, sleeping 10
