07:07:23 INFO GitHub token rate limit: Rate(reset=2026-03-31 07:38:59+00:00, remaining=4626, limit=5000)
07:16:06 INFO Wait for condition not met, sleeping 10
07:17:37 INFO Wait for condition not met, sleeping 10
07:17:49 INFO Wait for condition not met, sleeping 10
07:18:02 INFO Wait for condition not met, sleeping 10
07:18:14 INFO Wait for condition not met, sleeping 10
07:18:27 INFO Wait for condition not met, sleeping 10
07:18:39 INFO Wait for condition not met, sleeping 10
07:18:52 INFO Wait for condition not met, sleeping 10
07:19:04 INFO Wait for condition not met, sleeping 10
07:19:17 INFO Wait for condition not met, sleeping 10
07:19:29 INFO Wait for condition not met, sleeping 10
07:19:42 INFO Wait for condition not met, sleeping 10
07:19:54 INFO Wait for condition not met, sleeping 10
07:20:06 INFO Wait for condition not met, sleeping 10
07:20:19 INFO Wait for condition not met, sleeping 10
07:20:31 INFO Wait for condition not met, sleeping 10
07:20:43 INFO Wait for condition not met, sleeping 10
07:20:55 INFO Wait for condition not met, sleeping 10
07:21:07 INFO Wait for condition not met, sleeping 10
07:21:20 INFO Wait for condition not met, sleeping 10
07:21:33 INFO Wait for condition not met, sleeping 10
