19:27:36 INFO GitHub token rate limit: Rate(reset=2026-04-08 19:48:24+00:00, remaining=4100, limit=5000)
19:35:52 INFO Wait for condition not met, sleeping 10
19:37:25 INFO Wait for condition not met, sleeping 10
19:37:38 INFO Wait for condition not met, sleeping 10
19:37:51 INFO Wait for condition not met, sleeping 10
19:38:04 INFO Wait for condition not met, sleeping 10
19:38:17 INFO Wait for condition not met, sleeping 10
19:38:31 INFO Wait for condition not met, sleeping 10
19:38:44 INFO Wait for condition not met, sleeping 10
19:38:57 INFO Wait for condition not met, sleeping 10
19:39:10 INFO Wait for condition not met, sleeping 10
19:39:23 INFO Wait for condition not met, sleeping 10
19:39:36 INFO Wait for condition not met, sleeping 10
19:39:49 INFO Wait for condition not met, sleeping 10
19:40:02 INFO Wait for condition not met, sleeping 10
19:40:15 INFO Wait for condition not met, sleeping 10
19:40:28 INFO Wait for condition not met, sleeping 10
19:40:41 INFO Wait for condition not met, sleeping 10
19:40:54 INFO Wait for condition not met, sleeping 10
19:41:07 INFO Wait for condition not met, sleeping 10
19:41:20 INFO Wait for condition not met, sleeping 10
