19:36:13 INFO GitHub token rate limit: Rate(reset=2026-03-30 20:33:59+00:00, remaining=4962, limit=5000)
19:45:01 INFO Wait for condition not met, sleeping 10
19:46:33 INFO Wait for condition not met, sleeping 10
19:46:46 INFO Wait for condition not met, sleeping 10
19:46:59 INFO Wait for condition not met, sleeping 10
19:47:12 INFO Wait for condition not met, sleeping 10
19:47:25 INFO Wait for condition not met, sleeping 10
19:47:38 INFO Wait for condition not met, sleeping 10
19:47:50 INFO Wait for condition not met, sleeping 10
19:48:03 INFO Wait for condition not met, sleeping 10
19:48:16 INFO Wait for condition not met, sleeping 10
19:48:29 INFO Wait for condition not met, sleeping 10
19:48:42 INFO Wait for condition not met, sleeping 10
19:48:55 INFO Wait for condition not met, sleeping 10
19:49:08 INFO Wait for condition not met, sleeping 10
19:49:20 INFO Wait for condition not met, sleeping 10
19:49:33 INFO Wait for condition not met, sleeping 10
19:49:46 INFO Wait for condition not met, sleeping 10
19:49:59 INFO Wait for condition not met, sleeping 10
19:50:12 INFO Wait for condition not met, sleeping 10
19:50:25 INFO Wait for condition not met, sleeping 10
