07:16:23 INFO GitHub token rate limit: Rate(reset=2026-04-06 07:35:37+00:00, remaining=4378, limit=5000)
07:25:06 INFO Wait for condition not met, sleeping 10
07:26:38 INFO Wait for condition not met, sleeping 10
07:26:50 INFO Wait for condition not met, sleeping 10
07:27:02 INFO Wait for condition not met, sleeping 10
07:27:14 INFO Wait for condition not met, sleeping 10
07:27:27 INFO Wait for condition not met, sleeping 10
07:27:39 INFO Wait for condition not met, sleeping 10
07:27:51 INFO Wait for condition not met, sleeping 10
07:28:03 INFO Wait for condition not met, sleeping 10
07:28:15 INFO Wait for condition not met, sleeping 10
07:28:28 INFO Wait for condition not met, sleeping 10
07:28:41 INFO Wait for condition not met, sleeping 10
07:28:53 INFO Wait for condition not met, sleeping 10
07:29:05 INFO Wait for condition not met, sleeping 10
07:29:17 INFO Wait for condition not met, sleeping 10
07:29:29 INFO Wait for condition not met, sleeping 10
07:29:42 INFO Wait for condition not met, sleeping 10
07:29:54 INFO Wait for condition not met, sleeping 10
07:30:07 INFO Wait for condition not met, sleeping 10
07:30:19 INFO Wait for condition not met, sleeping 10
07:30:31 INFO Wait for condition not met, sleeping 10
